src,dst,length_m,way_id
299421787,2912193847,14.8,27277761
2912193847,3377940190,177.8,27277761
3377940190,2912193925,198.0,27277761
2912193925,299421690,14.5,27277761
299421690,3377940188,233.1,27277761
3377940188,299422084,211.3,27277761
299422084,2912193978,15.4,27277761
2912193978,13188217841,55.7,27277761
13188217841,13188217839,58.2,27277761
13188217839,2912194012,369.7,27277761
2912194012,299421692,45.5,27277761
299421692,2912194024,60.4,27277761
2912194024,12217514172,27.8,27277761
12217514172,546800734,20.8,27277761
546800734,2912194029,17.3,27277761
2912194029,2912194033,33.9,27277761
2912194033,299422085,72.1,27277761
299422085,973472466,245.0,27277761
973472466,2912194042,33.0,27277761
2912194042,2912194041,39.2,27277761
2912194041,299421694,46.8,27277761
299421694,2912194032,120.3,27277761
2912194032,2912194031,18.1,27277761
2912194031,1993091096,33.2,27277761
2912194022,299421702,14.2,27277763
299421702,3234983768,97.6,27277763
3234983768,3234983765,101.8,27277763
3234983765,3377971673,165.9,27277763
3377971673,2912193975,263.9,27277763
2912193975,546800780,13.2,27277763
546800780,3377971441,77.0,27277763
3377971441,3377971405,128.4,27277763
3377971405,3377971436,136.9,27277763
3377971436,299421700,102.7,27277763
299421700,2912193907,14.1,27277763
2912193907,3377907766,182.2,27277763
3377907766,299421699,179.1,27277763
2912193938,2912193931,52.5,27277765
2912193931,299421690,54.8,27277765
299421690,3377907768,13.7,27277765
3377907768,3377907778,172.9,27277765
3377907778,299421700,13.9,27277765
299421700,546801052,128.3,27277765
546801052,2912193888,60.2,27277765
2912193888,3377971407,127.4,27277765
3377971407,2912193881,3.1,27277765
2912193881,299421725,78.6,27277765
299421725,2912193873,12.1,27277765
2912193873,2912193866,73.5,27277765
2912193866,1993090206,42.1,27277765
1993090206,2912193857,69.8,27277765
2912193857,299421726,20.9,27277765
299421726,1993090155,57.0,27277765
1993090155,2912193861,57.1,27277765
2912193861,299421727,60.4,27277765
299421727,2912193870,37.8,27277765
2912193870,1993090239,53.9,27277765
1993090239,12279161451,56.1,27277765
12279161451,2912193885,8.9,27277765
2912193885,299421728,12.7,27277765
299421728,2912193892,37.4,27277765
2912193892,2912193900,37.9,27277765
2912193900,2912193911,39.1,27277765
2912193911,2912193921,45.6,27277765
2912193921,11875988149,16.6,27277765
11875988149,3377971633,69.6,27277765
3377971633,1993090834,28.4,27277765
1993090834,7955020854,61.8,27277765
7955020854,2912193943,4.3,27277765
2912193943,299421729,16.6,27277765
299421729,3377971634,57.1,27277765
3377971634,2912193964,74.0,27277765
2912193964,546801699,13.1,27277765
546801699,3377971648,303.8,27277765
3377971648,299421730,83.8,27277765
299421730,2912193998,12.9,27277765
1993090555,2912193889,12.5,27277767
2912193889,12241233270,55.4,27277767
12241233270,546800890,78.6,27277767
546800890,2912193860,360.0,27277767
2912193860,2912193855,54.9,27277767
2912193855,2912193847,56.3,27277767
2912193847,2912193845,12.7,27277767
2912193845,3377907773,172.3,27277767
3377907773,299421699,13.5,27277767
299421699,3377907763,69.3,27277767
3377907763,299422184,71.1,27277767
299422184,299421789,255.6,27277767
299421789,2912193826,11.9,27277767
2912193826,2912193824,9.5,27277767
2912193824,2912193822,36.0,27277767
2912193822,1993090027,78.2,27277767
1993090027,7925233346,16.6,27277767
7925233346,3377907749,22.9,27277767
3377907749,2912193814,49.0,27277767
2912193814,299421790,44.2,27277767
299421790,3377907735,71.2,27277767
3377907735,546801225,75.9,27277767
546801225,2912193821,11.9,27277767
2912193821,2912193828,87.1,27277767
2912193828,1993090071,32.6,27277767
1993090071,299421791,133.7,27277767
299421791,2912193833,32.8,27277767
2912193833,1993090113,99.8,27277767
1993090113,3377806291,32.1,27277767
3377806291,3377971596,50.7,27277767
3377971596,2912193848,39.2,27277767
2912193848,546801137,13.1,27277767
546801137,299421989,105.0,27277767
299421989,3377806253,67.2,27277767
3377806253,1993090366,4.3,27277767
1993090366,546800825,78.4,27277767
546800825,3377971598,104.3,27277767
3377971598,1993090804,3.9,27277767
1993090804,1993090854,72.9,27277767
1993090854,2912193947,63.9,27277767
2912193947,299422376,17.1,27277767
299422376,2912193957,57.6,27277767
2912193957,2912193980,230.7,27277767
2912193980,2912193995,243.6,27277767
2912193995,299421991,13.2,27277767
299421991,3377971717,14.3,27277767
3377971717,3377971721,12.1,27277767
3377971721,2912194005,44.1,27277767
2912194005,2912194008,62.7,27277767
2912194008,2912194011,66.1,27277767
2912194011,299422082,69.8,27277767
299422082,1993090936,34.1,27277767
1993091110,2912194037,43.1,27277806
2912194037,3379910861,91.2,27277806
3379910861,973473279,22.2,27277806
973473279,7925362101,149.6,27277806
7925362101,973473165,51.1,27277806
973473165,973472712,386.8,27277806
973472712,2912194051,55.9,27277806
2912194051,2912194052,52.8,27277806
2912194052,973472445,72.6,27277806
973472445,2912194053,88.3,27277806
2912194053,973472864,73.7,27277806
973472864,3234983782,87.8,27277806
3234983782,13000091082,18.7,27277806
13000091082,13000091081,25.3,27277806
13000091081,2912194054,34.7,27277806
2912194054,299422517,68.3,27277806
299422517,13000091075,47.1,27277806
13000091075,13000091074,11.2,27277806
13000091074,13000091073,15.0,27277806
13000091073,973472368,14.3,27277806
973472368,13000091072,39.3,27277806
13000091072,13000091071,43.1,27277806
13000091071,3379910998,103.2,27277806
3379910998,3379911000,122.0,27277806
3379911000,3379974255,40.3,27277806
3379974255,3379911006,52.8,27277806
3379911006,3379911010,40.4,27277806
3379911010,3379911013,35.4,27277806
3379911013,13000091033,19.1,27277806
13000091033,3379911015,23.4,27277806
3379911015,13000091031,14.0,27277806
13000091031,973472634,10.2,27277806
973472634,3379911017,11.3,27277806
3379911017,13000091030,17.0,27277806
13000091030,3379254370,12.7,27277806
3379254370,973473199,13.6,27277806
973473199,13000091029,21.5,27277806
13000091029,13000091028,13.0,27277806
13000091028,3379254373,12.5,27277806
3379254373,973473314,5.0,27277806
973473314,3379254372,6.0,27277806
3379254372,13000091007,39.2,27277806
13000091007,13000091006,17.0,27277806
13000091006,973472786,12.2,27277806
973472786,13000091005,17.3,27277806
13000091005,13000091004,15.0,27277806
13000091004,973472901,17.3,27277806
973472901,299422364,14.2,27277806
299422364,3379911029,18.6,27277806
3379911029,3379911036,18.1,27277806
3379911036,13000091086,5.9,27277806
13000091086,3379911037,374.5,27277806
3379911037,973472483,32.1,27277806
973472483,3379911040,37.1,27277806
3379911040,973473048,33.5,27277806
973473048,13000091088,158.6,27277806
13000091088,1259291469,585.1,27277806
1259291469,973473069,81.1,27277806
973473069,3379911046,97.9,27277806
3379911046,3379911042,316.6,27277806
3379911042,3379911051,41.2,27277806
3379911051,3379911047,79.6,27277806
3379911047,3379911052,182.3,27277806
3379911052,3379911056,59.8,27277806
3379911056,973472452,39.3,27277806
973472452,3379911061,293.2,27277806
3379911061,3379911065,320.2,27277806
3379911065,973472871,67.2,27277806
973472871,3364048530,493.0,27277806
3364048530,3364019189,12.7,27277806
3364019189,2125087892,57.5,27277806
2125087892,3379911080,36.0,27277806
3379911080,3363958641,23.1,27277806
3363958641,3379911089,15.4,27277806
3379911089,299422365,73.6,27277806
299422365,3379911093,113.7,27277806
3379911093,2125087912,57.2,27277806
2125087912,973472909,234.4,27277806
973472909,3379911094,36.5,27277806
3379911094,3364104536,18.5,27277806
3364104536,3364104529,43.4,27277806
3364104529,973473326,50.8,27277806
5381084241,5381084240,34.3,31299910
5381084240,5381084239,25.9,31299910
5381084239,5381084238,23.0,31299910
5381084238,5381084237,27.0,31299910
5381084237,3387197031,17.9,31299910
3387197031,3387197011,260.8,31299910
3387197011,3387197010,141.2,31299910
3387197010,3375126390,48.6,31299910
3375126390,3387197017,247.3,31299910
3387197017,973473285,118.3,31299910
973473285,3387197019,121.1,31299910
3387197019,348228390,38.4,31299910
348228390,3375126621,175.0,31299910
3375126621,973472416,35.2,31299910
973472416,348228389,295.2,31299910
348228389,3375126624,163.5,31299910
3375126624,3375126623,154.7,31299910
3375126623,9585024930,58.5,31299910
