id,lat,lon
3376126207,26.544422,37.9559553
3376126208,26.5453508,37.9519834
3376126270,26.5447054,37.9547434
3376126281,26.5447302,37.9546375
3376126282,26.5443043,37.9564458
11536434485,26.5439683,37.9578468
6416775826,26.5928756,37.9024217
6416775827,26.5928397,37.9025504
6416775828,26.59289,37.9028052
6416775829,26.5931299,37.9033524
6416775830,26.5931491,37.9036045
6416775831,26.5930819,37.9039854
6416775832,26.59295,37.9043689
6416775833,26.5928109,37.9045862
6416775834,26.5926814,37.9048464
6416775835,26.5924895,37.9051441
6416775836,26.5921393,37.9056028
6416775837,26.5919091,37.9057395
6416775838,26.5913862,37.9059541
3376770970,26.5572501,37.9317896
12277138875,26.5580372,37.9320712
12277138881,26.5576552,37.9320616
12277138887,26.5563892,37.9320555
12277138888,26.5567607,37.9320332
12277138892,26.5565756,37.9319436
12277138894,26.5559989,37.9317729
12277138896,26.5563866,37.9318369
12277138897,26.5561821,37.9317746
12277138898,26.5555481,37.9321044
12277138899,26.5557632,37.9319026
6437020015,26.5639584,37.9320032
6437020016,26.5645783,37.931608
6437020048,26.5647712,37.9313312
6437020049,26.5639082,37.9319082
6437020053,26.5641084,37.9321948
6437020054,26.5641442,37.9320947
6437020055,26.5642024,37.9320096
6437020056,26.5642651,37.9319796
6437020057,26.564377,37.931957
9584986469,26.5640696,37.9321705
9584986470,26.5640308,37.9321299
9584986471,26.5639956,37.9320799
12277138862,26.5646502,37.9319432
3376142109,26.5686882,37.9310316
3377493706,26.5713034,37.932043
3377493715,26.5703622,37.931994
3377493717,26.5682011,37.9313257
3377493775,26.5676124,37.9316792
6437020017,26.5650964,37.9312599
6437020018,26.5656723,37.9309456
6437020019,26.5661463,37.930733
6437020020,26.5676115,37.9300796
6437020021,26.5692363,37.9293324
6437020022,26.5702597,37.9289541
6437020042,26.5696457,37.9290522
6437020043,26.5691152,37.9292577
6437020044,26.5685054,37.9295379
6437020045,26.567716,37.9299161
6437020046,26.5658071,37.9307567
6437020047,26.5652766,37.9310276
6437020058,26.5655721,37.9318965
6437020059,26.5651811,37.931085
6437020060,26.5652295,37.9311872
6448629678,26.5679505,37.9308752
6448629679,26.5656745,37.9321075
6448629680,26.5672418,37.9312009
6448629681,26.5675302,37.9310745
6448629682,26.5683914,37.9306736
6448629683,26.5687578,37.9304471
6448629684,26.5691397,37.9301856
6448629685,26.568667,37.9294636
6448629686,26.5687446,37.9295585
6448629689,26.5685181,37.9320398
6448629690,26.5689837,37.9317532
6448629691,26.5698226,37.9311969
6448629692,26.5693889,37.9314845
6448629697,26.569283,37.9303979
6448629698,26.5699666,37.9301777
6448629699,26.5707109,37.9298857
6448629700,26.5710422,37.9297201
6448629707,26.5699789,37.9314277
6448629711,26.5709323,37.928734
6448629712,26.5713357,37.92952
6448629715,26.5708071,37.9298377
6448629716,26.5711892,37.9305395
6448629717,26.5705286,37.9310243
6448629727,26.5659395,37.9308258
6448629728,26.5663498,37.9317169
6448629729,26.5664441,37.9306002
6448629730,26.5668467,37.9314294
6448629731,26.5670827,37.9303154
6448629732,26.5672491,37.9306997
6448629733,26.5666497,37.9310237
12277138826,26.5707646,37.9308511
12277138827,26.5703291,37.9300355
12277138828,26.5704946,37.9303455
12277138829,26.570087,37.9306203
12277138830,26.5699334,37.9301884
12277138831,26.5671931,37.9312291
12277138832,26.5674284,37.9316367
12277138833,26.5675081,37.9316497
12277138834,26.5669743,37.9316812
12277138835,26.5679857,37.9320329
12277138836,26.5677508,37.9317486
12277138855,26.565045,37.9319232
3376125774,26.5515953,37.9417688
3376125775,26.5514412,37.9416053
3376125776,26.5512397,37.9415258
3376125777,26.5510183,37.9415214
3376125778,26.5504848,37.9415656
3376125779,26.5502279,37.9416186
3376125780,26.5499671,37.9416981
3376125781,26.5496825,37.9418086
3376125782,26.5494019,37.9419897
3376125783,26.5491529,37.9421708
3376125784,26.5489276,37.9423962
3376125785,26.5486707,37.9427364
3376125786,26.5483032,37.9432621
3376125787,26.5480068,37.9437834
3376125788,26.5474021,37.9448924
3376126214,26.547659,37.9448173
3376126215,26.5480898,37.9440264
3376126216,26.5486115,37.943134
3376126217,26.5489118,37.9427408
3376126218,26.5491529,37.942458
3376126219,26.5494888,37.9421576
3376126220,26.5498287,37.9419588
3376126221,26.5502319,37.9418174
3376126222,26.5507259,37.9417555
3376126223,26.5511092,37.9417246
3376126224,26.5513424,37.9417334
3376126225,26.5514531,37.9417953
3376126226,26.5515914,37.9419676
3376126250,26.5488007,37.9428863
3376126257,26.5488881,37.9427718
3376126258,26.5503993,37.9448607
11536434444,26.550133,37.9451331
11536434454,26.5499374,37.9453402
12297162944,26.5495035,37.9437544
12297162947,26.5491404,37.9433163
12297162952,26.5478662,37.9444369
12362252367,26.5514278,37.9417812
12362252368,26.5515107,37.941679
12362252369,26.5516021,37.941611
12362252370,26.5516726,37.9415666
12362252371,26.5518457,37.9414546
12362252372,26.5519129,37.941399
12362252376,26.5518688,37.9412191
12362252377,26.5517784,37.9412117
12362252378,26.5516947,37.941224
12362252379,26.5515756,37.9412265
12362252380,26.5514984,37.9412092
12362252381,26.5514191,37.9411871
12362252382,26.5513397,37.9411378
12362252383,26.5512471,37.941049
12362252384,26.5511368,37.9408962
12362252385,26.5510156,37.9407311
12362252386,26.5509119,37.9405289
12362252387,26.5508303,37.9403663
12362252388,26.5507532,37.94028
12362252389,26.5506694,37.9401765
12362252390,26.5506518,37.9400803
12362252391,26.5507025,37.9399793
12362252392,26.5507664,37.9399053
12362252393,26.5507973,37.939893
12362252396,26.5487189,37.9426725
12362252397,26.548855,37.9428152
